category_id,views,likes,dislikes,comment_total
17,1243,4,1,0
22,2557131,105292,4152,21600
22,5189928,249525,188836,101387
23,888666,13331,4298,2607
10,10944706,333571,22694,31875
24,1367572,69585,869,11670
25,958557,4449,1946,8408
1,124361,3239,206,393
28,428150,14225,606,2341
24,794350,36062,694,4684
22,184418,11561,475,1415
24,866712,13740,1420,2204
24,883661,8850,833,1123
23,2301798,111571,2980,6153
22,1913379,129744,4313,15172
1,697423,3303,351,0
24,3308652,61918,6168,19388
17,22200,258,20,66
26,142517,9381,134,1429
26,430772,20614,230,3756
17,494594,1757,222,1573
25,923246,2159,843,2324
10,630274,33856,457,2187
26,1715898,96479,1271,8973
23,300654,5195,592,942
23,722288,6019,2162,1957
26,78909,3690,151,667
28,1611838,26492,4288,6514
24,402819,4174,407,462
1,1318301,14943,1079,1724
10,643106,52876,365,6094
22,203117,10897,460,2545
25,649911,25885,908,3164
24,351832,11518,288,1193
24,1101135,4655,201,558
26,34240,1898,25,166
23,4175780,361052,6677,23243
1,63612,5203,250,2322
23,569448,12799,2209,1899
1,48720,713,9,67
23,2554293,164754,1597,18934
23,1968311,86214,910,21538
22,292896,12609,207,1940
28,104520,2039,23,260
24,37261,803,61,238
25,83906,422,189,1149
10,2373665,277868,1006,24267
22,3150095,131981,1512,9159
22,668186,21171,1443,2311
24,225785,6143,127,537
24,2856877,62776,1268,1500
24,382515,1132,659,1094
25,47906,358,58,438
28,174974,4721,100,542
28,2497096,72029,621,5921
22,135116,12924,125,809
10,385798,20113,476,1232
10,195492,4244,182,289
22,362611,7037,1853,1573
10,36900,2091,74,452
10,126103,15926,53,809
28,722624,35824,730,4923
10,1560465,74611,1997,3552
10,46311,288,8,22
1,1570276,48988,338,2222
10,31651,1532,24,126
26,852121,65212,911,6799
26,717404,23900,442,3329
28,2237810,23184,4577,6973
10,13501685,1013883,11581,157635
10,1733474,108832,1883,10698
23,1275738,37495,503,3601
22,885969,9772,849,730
26,674348,26026,547,2342
22,207054,19325,176,1870
26,871707,59110,427,4096
22,558989,56452,203,4159
26,394417,15786,590,2065
26,251942,14093,215,1817
24,332898,16175,614,1378
10,95229,3135,108,318
24,175751,1877,42,140
17,286065,8837,406,315
26,1380990,79919,966,12703
2,32853,734,7,78
10,174170,11310,54,498
22,432275,32794,160,4534
22,1880966,37115,1235,4211
1,1088163,12106,868,1789
1,139123,617,7,37
26,104556,4391,110,597
28,138958,1227,15,107
2,168664,474,8,51
27,164771,6633,853,1041
10,4272775,259507,4137,19035
10,216512,12440,142,574
24,397771,1332,1630,1099
24,2142941,75361,1696,8481
22,3395,180,0,7
25,59450,398,63,158
23,1213663,49377,937,3003
10,106825,4806,106,785
10,107323,4761,35,560
24,408785,7205,244,526
23,285667,9023,184,888
26,130634,8583,40,646
28,19707391,381919,69465,0
22,735378,9978,179,709
10,153943,2616,114,518
26,648076,28204,626,3133
10,157761,7910,280,863
10,51836,271,5,32
24,36948,63,2,0
15,2333102,46801,954,5702
25,16376,26,131,93
24,6109026,369963,23207,38850
24,436715,8099,447,1094
28,4633101,35111,7231,12823
22,220338,3158,108,336
10,83980,2119,351,620
24,36595,208,34,117
26,58686,3683,45,387
24,251788,3553,64,346
17,184224,6830,243,451
24,110540,726,38,49
24,310826,21111,155,1693
10,34972,2008,19,83
27,89617,5362,76,668
23,731197,3447,835,1199
24,454794,10554,644,1001
22,145407,2615,355,1251
22,8347038,687381,54352,130106
23,3037052,157883,1779,9107
10,72981,10156,32,890
10,256804,7823,141,366
26,32639,1471,23,216
10,52752,2410,37,201
10,213404,833,68,53
26,1513874,92549,2175,14951
28,868741,35004,945,3755
10,116960,17372,78,2583
10,118637,2486,60,136
24,67327,1513,6,112
24,2259149,38699,1573,4566
10,266816,10184,189,828
24,662501,44331,685,6640
10,3501124,123557,9636,8211
1,2156550,47051,849,3314
19,251472,9892,145,2160
24,158271,320,63,139
17,207227,2918,84,344
23,207999,16425,273,2529
10,3331,373,3,55
28,943474,25418,1031,4786
26,323710,18879,303,1618
10,314127,15315,178,1029
26,804842,39315,352,3744
10,86098,6848,30,275
23,1261482,47349,798,3205
28,4484393,98828,11533,20901
26,69148,3526,16,229
22,3122153,218697,1141,17755
24,549702,21980,505,1567
1,1771274,109494,3629,20727
26,56164,8211,55,1421
10,182568,1032,13,119
23,1434594,46448,1080,2004
28,1232902,44449,1357,4118
10,298514,12411,436,1001
1,1644821,37539,1218,4278
10,171358,5130,376,561
10,14598,1432,6,140
10,291410,6117,832,600
2,168645,205,56,3
10,533397,43681,569,3593
10,87279,3197,49,179
28,1521364,6246,1804,2885
24,123053,2293,55,110
22,252615,22516,48,1643
22,25211,22,1,0
10,1726470,60575,875,4609
2,125255,1247,100,68
17,13686054,432783,9367,21853
10,15598,141,0,29
26,711888,30520,903,2137
10,927856,79631,505,3930
24,2141691,74997,1641,5891
28,77053,2007,50,236
1,3447192,12246,535,1743
24,382354,27393,395,1988
22,88447,1774,67,176
1,1640353,38242,1160,6931
1,2227312,85408,2060,4287
